study_year,region_code,region_name,beneficiaries,boxes,reimbursement_base_eur,reimbursed_expenditure_eur,open_medic_source_file,population_average,denominator_strata,beneficiary_rate_per_100000,boxes_per_100000,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,beneficiary_measure_status,additive_measure_status,historical_window_amendment_id,amendment_id,analysis_version,denominator_source_file
2024,28,Normandie,37692,368032,29030477.09,28460661.26,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,3349971,6,1125.1440684113386,10986.124954514531,507,1.363453005244053,14.282238591726355,1.2856899218551376,-3.3544639527738562,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,32,Hauts-de-France,86611,846663,66713806.29,65119636.15,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,5979143.5,6,1448.551953971334,14160.272286490534,372,0.4313593617736755,8.358981907293355,0.5804070752625234,-5.471440900600555,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,44,Grand Est,74732,726179,57155639.7,55740238.39,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,5553806,6,1345.5997562752461,13075.339685973908,1060,1.438809859919643,20.663274437326663,1.5595671732627547,-2.7479650407527534,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,5,Overseas regions and departments,43125,397684,40527213.76,39347428.77,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,2265987.5,6,1903.1437728584115,17550.140942966365,4587,11.902537754943165,189.41226457635412,11.052621934122687,13.456408676326692,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,52,Pays de la Loire,36293,362400,28549819.73,28063779.58,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,3936115,6,922.0513120170524,9207.048066430985,958,2.7111928682609365,19.96098222880937,2.2127476118156686,0.02622100164226815,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,53,Bretagne,25649,255785,20280161.71,19919707.52,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,3479481.5,6,737.150061007653,7351.238970519026,1591,6.613184803391814,41.73978903656325,6.00218183695429,3.52482636921434,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,75,Nouvelle-Aquitaine,68460,683509,53927616.77,52928124.63,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,6196362,6,1104.8418410673876,11030.811305085144,2639,4.009358715303635,37.38795398549155,3.502535747722013,0.8341016884141794,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,76,Occitanie,65549,634710,50012503.74,48670370.11,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,6185722,6,1059.68228122764,10260.887896352278,2268,3.584014159068283,29.929435905041146,2.906467900621812,1.6764251215468207,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,84,Auvergne-Rhône-Alpes,78266,758315,59933422.26,58494874.04,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,8254211.5,6,948.1947488260994,9187.007141748185,841,1.0862124636745296,6.507707826316619,0.6910690646658502,-2.0373705247220597,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,93,Provence-Alpes-Côte d'Azur and Corse,69310,646761,50986972.86,49167426.09,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,5629286.5,6,1231.2395185428918,11489.21803855604,4450,6.8609312365094155,71.53843391126452,6.168695956164272,3.939927199093596,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2025,11,Île-de-France,149392,1323908,102665611.66,97289197.99,data/raw/open_medic/2025/atc4/NB_2025_atc4_reg.CSV.gz,12571895,6,1188.3013658640962,10530.695650894317,22482,17.71491608226301,175.32406586245986,17.30779809796099,15.667075839714828,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2025,24,Centre-Val de Loire,37575,353167,27419641.21,26766449.16,data/raw/open_medic/2025/atc4/NB_2025_atc4_reg.CSV.gz,2588796,6,1451.4469274519893,13642.1332542232,6160,19.608467292694563,237.64837744186616,19.57889778661246,19.120409877259426,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2025,27,Bourgogne-Franche-Comté,43640,422785,32834992.68,32162147.7,data/raw/open_medic/2025/atc4/NB_2025_atc4_reg.CSV.gz,2795460.5,6,1561.1023657819526,15123.984044846995,6428,17.273997635171455,231.40379914212144,17.40272607248743,19.20820163480055,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
